,gene,rep1,rep2,rep3,consist_num,Final_Cluster
411,B_Gene165,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
412,B_Gene128,DTW-K1-001-DPGP008,DTW-K1-001-DPGP016,DTW-K1-001-DPGP001,1,
413,A_Gene156,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
414,B_Gene268,DTW-K1-001-DPGP009,DTW-K1-001-DPGP015,DTW-K1-001-DPGP010,1,
415,A_Gene58,DTW-K1-001-DPGP009,DTW-K1-001-DPGP008,DTW-K1-001-DPGP013,1,
416,B_Gene243,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,DTW-K1-001-DPGP010,1,
417,A_Gene78,DTW-K1-001-DPGP006,DTW-K1-001-DPGP019,DTW-K1-001-DPGP001,1,
418,A_Gene495,DTW-K1-001-DPGP011,DTW-K1-001-DPGP014,DTW-K1-001-DPGP016,1,
419,A_Gene19,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP005,1,
420,A_Gene274,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
421,A_Gene117,DTW-K1-001-DPGP001,DTW-K1-001-DPGP020,DTW-K1-001-DPGP015,1,
422,A_Gene268,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP010,1,
423,B_Gene12,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP014
424,A_Gene35,DTW-K1-001-DPGP017,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,1,
425,B_Gene334,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,2,DTW-K1-001-DPGP006
426,A_Gene183,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP016
427,A_Gene309,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,3,DTW-K1-001-DPGP016
428,B_Gene34,DTW-K1-001-DPGP018,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,1,
429,A_Gene401,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
430,A_Gene190,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
431,B_Gene77,DTW-K1-001-DPGP018,DTW-K1-001-DPGP005,DTW-K1-001-DPGP013,1,
432,A_Gene475,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
433,B_Gene359,DTW-K1-001-DPGP012,DTW-K1-001-DPGP012,DTW-K1-001-DPGP017,2,DTW-K1-001-DPGP012
434,B_Gene244,DTW-K1-001-DPGP004,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,1,
435,A_Gene482,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,DTW-K1-001-DPGP008,2,DTW-K1-001-DPGP008
436,B_Gene20,DTW-K1-001-DPGP016,DTW-K1-001-DPGP009,DTW-K1-001-DPGP013,1,
437,B_Gene309,DTW-K1-001-DPGP002,DTW-K1-001-DPGP016,DTW-K1-001-DPGP019,1,
438,A_Gene419,DTW-K1-001-DPGP017,DTW-K1-001-DPGP016,DTW-K1-001-DPGP001,1,
439,B_Gene450,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP009,1,
440,A_Gene479,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,DTW-K1-001-DPGP017,2,DTW-K1-001-DPGP004
